reg_ts;uid
1600300822;1098539
1600300875;1098541
1600300928;1098542
1600300981;1098543
1600301035;1098544
1600301088;1098545
1600301141;1098546
1600301194;1098547
1600301247;1098548
1600301300;1098549
1600301353;1098550
1600301406;1098551
1600301460;1098552
1600301513;1098553
1600301566;1098554
1600301619;1098555
1600301672;1098557
1600301725;1098558
1600301778;1098559
1600301831;1098560
1600301885;1098561
1600301938;1098562
1600301991;1098563
1600302044;1098564
1600302097;1098565
1600302150;1098566
1600302203;1098567
1600302256;1098568
1600302309;1098569
1600302363;1098571
1600302416;1098572
1600302469;1098573
1600302522;1098574
1600302575;1098575
1600302628;1098576
1600302681;1098578
1600302734;1098579
1600302788;1098580
1600302841;1098581
1600302894;1098582
1600302947;1098583
1600303000;1098584
1600303053;1098585
1600303106;1098586
1600303159;1098587
1600303212;1098588
1600303266;1098590
1600303319;1098591
1600303372;1098592
1600303425;1098593
1600303478;1098594
1600303531;1098595
1600303584;1098596
1600303637;1098597
1600303691;1098598
1600303744;1098599
1600303797;1098601
1600303850;1098602
1600303903;1098603
1600303956;1098604
1600304009;1098605
1600304062;1098606
1600304115;1098607
1600304169;1098608
1600304222;1098609
1600304275;1098610
1600304328;1098611
1600304381;1098612
1600304434;1098613
1600304487;1098614
1600304540;1098615
1600304593;1098616
1600304647;1098617
1600304700;1098618
1600304753;1098621
1600304806;1098622
1600304859;1098623
1600304912;1098624
1600304965;1098625
1600305018;1098626
1600305072;1098627
1600305125;1098628
1600305178;1098629
1600305231;1098630
1600305284;1098631
1600305337;1098633
1600305390;1098634
1600305443;1098636
1600305496;1098637
1600305550;1098638
1600305603;1098639
1600305656;1098640
1600305709;1098641
1600305762;1098643
1600305815;1098644
1600305868;1098645
1600305921;1098646
1600305974;1098647
1600306028;1098649
1600306081;1098651
1600306134;1098652
1600306187;1098653
1600306240;1098654
1600306293;1098655
1600306346;1098656
1600306399;1098657
1600306453;1098658
1600306506;1098660
1600306559;1098661
1600306612;1098662
1600306665;1098663
1600306718;1098664
1600306771;1098665
1600306824;1098666
1600306877;1098667
1600306931;1098668
1600306984;1098669
1600307037;1098670
1600307090;1098671
1600307143;1098672
1600307196;1098673
1600307249;1098674
1600307302;1098675
1600307355;1098676
1600307409;1098677
1600307462;1098679
1600307515;1098680
